# ----------------------------------------
# 1 Master View
# Обзор аудитории
# 20190427-20190503
# ----------------------------------------

Индекс часа,Диапазон дат,Сегмент,Просмотры страниц
000103,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,42
000103,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,5
000103,27.04.2019 - 03.05.2019,Новые пользователи,303
000104,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,180
000104,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,8
000104,27.04.2019 - 03.05.2019,Новые пользователи,393
000105,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,71
000105,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,5
000105,27.04.2019 - 03.05.2019,Новые пользователи,345
000106,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,92
000106,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,1
000106,27.04.2019 - 03.05.2019,Новые пользователи,396
000107,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,133
000107,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,7
000107,27.04.2019 - 03.05.2019,Новые пользователи,501
000108,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,157
000108,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,16
000108,27.04.2019 - 03.05.2019,Новые пользователи,480
000109,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,132
000109,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,6
000109,27.04.2019 - 03.05.2019,Новые пользователи,477
000110,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,98
000110,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,4
000110,27.04.2019 - 03.05.2019,Новые пользователи,230
000111,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,154
000111,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,1
000111,27.04.2019 - 03.05.2019,Новые пользователи,302
000112,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,141
000112,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,1
000112,27.04.2019 - 03.05.2019,Новые пользователи,333
000113,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,95
000113,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,8
000113,27.04.2019 - 03.05.2019,Новые пользователи,249
000114,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,154
000114,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,1
000114,27.04.2019 - 03.05.2019,Новые пользователи,356
000115,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,133
000115,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,14
000115,27.04.2019 - 03.05.2019,Новые пользователи,278
000116,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,142
000116,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,13
000116,27.04.2019 - 03.05.2019,Новые пользователи,275
